ts_code,name,start_date,end_date,change_reason
301028.SZ,鼎熔岩,20260126,,改名
002822.SZ,ST中装,20260122,,摘星
300078.SZ,思创智联,20260120,,改名
000821.SZ,ST京机,20260120,,ST
300682.SZ,朗新科技,20260119,,其他
002150.SZ,正泰电源,20260116,,改名
300746.SZ,汉嘉数智,20260115,,改名
300919.SZ,中伟新材,20260115,,其他
300506.SZ,ST名家汇,20260114,,摘星
002310.SZ,东方新能,20260114,,改名
300376.SZ,易事特,20260114,,撤销ST
600165.SH,ST宁科,20260114,,摘星
002388.SZ,新亚制程,20260113,,撤销ST
600292.SH,电投水电,20260113,,改名
300692.SZ,中赋科技,20260112,,改名
600936.SH,北投科技,20260109,,改名
300091.SZ,*ST金灵,20260106,,*ST
002055.SZ,ST得润,20260106,,ST
000537.SZ,绿发电力,20260105,,改名
600259.SH,中稀有色,20251231,,改名
